Visitor/Neutral,Visitor Points,Home/Neutral,Home Points,id,year,win,team,season_id,margin,playoff,correct,cteams
DET,101,VAN,99,200003190VAN,2000,0,VAN,VAN-2000,-2,FALSE,TRUE,TRUE
LAL,100,MIA,89,200003200MIA,2000,0,MIA,MIA-2000,-11,FALSE,TRUE,TRUE
BOS,106,PHO,110,200003200PHO,2000,1,PHO,PHO-2000,4,FALSE,TRUE,TRUE
SAS,96,DAL,97,200003210DAL,2000,1,DAL,DAL-2000,1,FALSE,TRUE,TRUE
DET,100,SEA,90,200003210SEA,2000,0,SEA,SEA-2000,-10,FALSE,TRUE,TRUE
MIN,109,BOS,106,200003220BOS,2000,0,BOS,BOS-2000,-3,FALSE,TRUE,TRUE
GSW,96,LAL,119,200003220LAL,2000,1,LAL,LAL-2000,23,FALSE,TRUE,TRUE
DET,104,POR,95,200003220POR,2000,0,POR,POR-2000,-9,FALSE,TRUE,TRUE
LAC,78,SAS,103,200003220SAS,2000,1,SAS,SAS-2000,25,FALSE,TRUE,TRUE
PHO,101,LAL,109,200003240LAL,2000,1,LAL,LAL-2000,8,FALSE,TRUE,TRUE
BOS,115,PHI,117,200003240PHI,2000,1,PHI,PHI-2000,2,FALSE,TRUE,TRUE
DET,103,SAC,113,200003240SAC,2000,1,SAC,SAC-2000,10,FALSE,TRUE,TRUE
DET,126,LAC,107,200003250LAC,2000,0,LAC,LAC-2000,-19,FALSE,TRUE,TRUE
